taxonomy	Av_abun	Log_av_abun	No_Samp	Total_Samp	Perc_occu	sum_DU1	sum_WF	sum_RI	IN_DU1	IN_WF	IN_RI	No_Sites	Site	Gills_Sum	Stomach_Sum	Gills_PA	Stomach_PA	Habitat_sum	Habitat	OTU_Name	Of_interest
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Thiotrichales: f__: g__: s__	0.296875	-0.527426373	9	64	0.140625	0	5	4	0	1	1	2	WFRI	3	6	1	1	2	Both	denovo88755	No
k__Bacteria: p__Cyanobacteria: c__Synechococcophycideae: o__Synechococcales: f__Synechococcaceae: g__Synechococcus: s__	0.34375	-0.463757293	9	64	0.140625	0	7	1	0	1	1	2	WFRI	6	3	1	1	2	Both	denovo100175	No
k__Bacteria: p__Bacteroidetes: c__Flavobacteriia: o__Flavobacteriales: f__: g__: s__	0.296875	-0.527426373	9	64	0.140625	0	2	7	0	1	1	2	WFRI	6	3	1	1	2	Both	denovo526501	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Mycoplasmatales: f__Mycoplasmataceae: g__Mycoplasma: s__	0.828125	-0.081904104	8	64	0.125	0	3	4	0	1	1	2	WFRI	2	6	1	1	2	Both	denovo784272	No
k__Bacteria: p__Cyanobacteria: c__Synechococcophycideae: o__Synechococcales: f__Synechococcaceae: g__Synechococcus: s__	0.53125	-0.274701057	7	64	0.109375	0	5	1	0	1	1	2	WFRI	3	4	1	1	2	Both	denovo304900	No
k__Bacteria: p__Planctomycetes: c__Planctomycetia: o__Pirellulales: f__Pirellulaceae: g__: s__	0.140625	-0.851937465	7	64	0.109375	0	3	4	0	1	1	2	WFRI	3	4	1	1	2	Both	denovo426312	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__HTCC2188: f__: g__: s__	0.3125	-0.505149978	7	64	0.109375	0	5	2	0	1	1	2	WFRI	6	1	1	1	2	Both	denovo134176	No
k__Bacteria: p__Bacteroidetes: c__Sphingobacteriia: o__Sphingobacteriales: f__: g__: s__	0.1875	-0.726998728	7	64	0.109375	0	1	6	0	1	1	2	WFRI	6	1	1	1	2	Both	denovo700794	No
k__Bacteria: p__Bacteroidetes: c__Bacteroidia: o__Bacteroidales: f__: g__: s__	0.15625	-0.806179974	6	64	0.09375	0	2	4	0	1	1	2	WFRI	3	3	1	1	2	Both	denovo451023	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Oceanospirillales: f__: g__: s__	0.109375	-0.961081934	5	64	0.078125	0	1	4	0	1	1	2	WFRI	2	3	1	1	2	Both	denovo143972	No
k__Bacteria: p__Proteobacteria: c__Gammaproteobacteria: o__Thiotrichales: f__Piscirickettsiaceae: g__: s__	0.109375	-0.961081934	5	64	0.078125	0	1	4	0	1	1	2	WFRI	2	3	1	1	2	Both	denovo583289	No
k__Bacteria: p__WPS.2: c__: o__: f__: g__: s__	0.078125	-1.10720997	5	64	0.078125	0	1	4	0	1	1	2	WFRI	2	3	1	1	2	Both	denovo895161	No
k__Bacteria: p__Cyanobacteria: c__Synechococcophycideae: o__Pseudanabaenales: f__Pseudanabaenaceae: g__: s__	0.40625	-0.391206626	5	64	0.078125	0	3	2	0	1	1	2	WFRI	3	2	1	1	2	Both	denovo195892	No
k__Bacteria: p__Firmicutes: c__Clostridia: o__Clostridiales: f__[Acidaminobacteraceae]: g__Fusibacter: s__	0.09375	-1.028028724	5	64	0.078125	0	2	3	0	1	1	2	WFRI	3	2	1	1	2	Both	denovo505838	No
k__Bacteria: p__Tenericutes: c__Mollicutes: o__Acholeplasmatales: f__Acholeplasmataceae: g__Acholeplasma: s__	0.109375	-0.961081934	5	64	0.078125	0	1	4	0	1	1	2	WFRI	4	1	1	1	2	Both	denovo481254	No
k__Bacteria: p__Proteobacteria: c__Alphaproteobacteria: o__Rhodospirillales: f__Rhodospirillaceae: g__: s__	0.109375	-0.961081934	4	64	0.0625	0	1	2	0	1	1	2	WFRI	2	2	1	1	2	Both	denovo313349	No
